what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323963497794
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323963497931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323963514712
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323963527700
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323963553255
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323963553477
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323963557671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323963570415
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323963575485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323963576307
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1323963576360
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323963586528
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323963599359
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323963601341
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1323963601723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323963607177
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323963607462
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323963609527
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323963617430
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323963619695
error,log,,,"src/ch/bbv/julklapp [in julklapp-gae] does not exist",1323963626895
error,log,,,"src/ch/bbv/julklapp [in julklapp-gae] does not exist",1323963626899
error,log,,,"src/ch/bbv/julklapp [in julklapp-gae] does not exist",1323963636775
