what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323946521819
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323946527412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1323946530948
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1323946534147
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1323946540687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1323946540688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323946556042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323946736556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323946740631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323946755657
activated,editor,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1323946760581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323946762969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323946766587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1323946766619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323946770009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323946781301
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323946786062
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1323946786110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323946787352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323946822414
activated,editor,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1323946822452
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323946863142
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1323946866056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323949809580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323949815057
activated,editor,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1323949815108
